cardNum	cardId	title	color	level	rarity	imagePath	effect	cutIn	hirameki	illustrator	flavor	qAndA
B01022	0018	少年探偵団	青	6	C	1714012985535161.jpg	【パートナー青】手札を1枚リムーブする。自分のデッキのカードを上から6枚見る。その中からレベル4以下の〚特徴［少年探偵団］〛のキャラを2枚まで登場させ、残りをシャッフルしてデッキの下に移す。					{"このカードを使用したとき、自分の手札が0枚の場合、どうなりますか？":"手札はリムーブせず、それ以降の効果を解決します。","条件を満たすカードが2枚以上あった場合でも、その中から1枚のみ登場させたり、1枚も登場させないことはできますか？":"はい、可能です。","すでに自分の現場にキャラが4枚以上ある場合、このカードの効果でキャラを2枚現場に登場させることはできますか？":"はい、可能です。その場合は自分の現場にいるキャラが最終的に5枚になるように、もともと現場にいるキャラをリムーブして登場させることができます。（これを「スイッチ」と言います。）"}
B01023	0019	シャッフルロマンス	青	2	C	1714012985537235.jpg	自分のデッキのカードを上から5枚見る。その中からカードを1枚まで手札に加え、残りを好きな順番でデッキの下に移す。このイベントを自分の現場にいるキャラ1枚にセットする。\nこのイベントがセットされているキャラは「このキャラがコンタクトしたとき、そのコンタクト中、このキャラをAP＋2000する。」を持つ。		【ヒラメキ】（証拠からリムーブされるときに発動する）カードを1枚引く。			{"「セットする」とは何ですか？":"キャラ1枚に、このイベントが付いた状態になります。セットされているキャラが現場を離れる場合、このイベントはリムーブされます。","自分の現場にキャラが1枚もない場合でもこのイベントを使用できますか？":"はい、可能です。「セットする」を実行できない場合、このイベントは解決後にリムーブエリアに置かれます。（ただし、セットできるキャラがいる場合は必ずセットします。）","見たカードを手札に加えないことはできますか？":"はい、可能です。"}
B01023P	0019	シャッフルロマンス	青	2	CP	1714012985541569.jpg	自分のデッキのカードを上から5枚見る。その中からカードを1枚まで手札に加え、残りを好きな順番でデッキの下に移す。このイベントを自分の現場にいるキャラ1枚にセットする。\nこのイベントがセットされているキャラは「このキャラがコンタクトしたとき、そのコンタクト中、このキャラをAP＋2000する。」を持つ。		【ヒラメキ】（証拠からリムーブされるときに発動する）カードを1枚引く。			{"「セットする」とは何ですか？":"キャラ1枚に、このイベントが付いた状態になります。セットされているキャラが現場を離れる場合、このイベントはリムーブされます。","自分の現場にキャラが1枚もない場合でもこのイベントを使用できますか？":"はい、可能です。「セットする」を実行できない場合、このイベントは解決後にリムーブエリアに置かれます。（ただし、セットできるキャラがいる場合は必ずセットします。）","見たカードを手札に加えないことはできますか？":"はい、可能です。"}
B01039	0033	「かっ…和葉ァ!!!」	緑	5	C	1714013020281063.jpg	このイベントを自分の現場にいる【緑】のキャラ1枚にセットする。\nこのイベントがセットされているキャラが相手の能力や効果、コンタクトによって現場から離れるとき、このイベントをリムーブし、そのキャラは現場から離れる代わりに現場に残る。					{"「セットする」とは何ですか？":"キャラ1枚に、このイベントが付いた状態になります。セットされているキャラが現場を離れる場合、このイベントはリムーブされます。","自分の現場にキャラが1枚もない場合でもこのイベントを使用できますか？":"はい、可能です。「セットする」を実行できない場合、このイベントは解決後にリムーブエリアに置かれます。（ただし、セットできるキャラがいる場合は必ずセットします。）","このイベントがセットされているキャラが現場から離れるとき、それによって（リムーブされる場合の【現場リムーブ時】といった）能力は発動しますか？":"いいえ。現場から離れる行為そのものを行わなかったことにするので、発動しません。","このイベントが2枚セットされているキャラが現場から離れる場合、どうなりますか？":"2枚ともリムーブされます。"}
B01040	0034	「オレの和葉に何さらしとんじゃ!!!」	緑	3	C	1714013020284784.jpg	キャラを1枚まで選び、スリープさせる。カードを1枚引く。		【ヒラメキ】（証拠からリムーブされるときに発動する）キャラを1枚まで選び、スリープさせる。			
B01040P	0034	「オレの和葉に何さらしとんじゃ!!!」	緑	3	CP	1714013020287901.jpg	キャラを1枚まで選び、スリープさせる。カードを1枚引く。		【ヒラメキ】（証拠からリムーブされるときに発動する）キャラを1枚まで選び、スリープさせる。			
B01057	0049	「最も出会いたくない…恋人ってトコロかな？」	白	5	C	1714013041176877.jpg	このイベントを自分の現場にいる【白】のキャラ1枚にセットする。\nこのイベントがセットされているキャラは「【相手ターン中】【現場リムーブ時】手札からレベル7以下の【白】のキャラを1枚まで登場させる。」を持つ。		【ヒラメキ】（証拠からリムーブされるときに発動する）カードを1枚引く。			{"「セットする」とは何ですか？":"キャラ1枚に、このイベントが付いた状態になります。セットされているキャラが現場を離れる場合、このイベントはリムーブされます。","自分の現場にキャラが1枚もない場合でもこのイベントを使用できますか？":"はい、可能です。「セットする」を実行できない場合、このイベントは解決後にリムーブエリアに置かれます。（ただし、セットできるキャラがいる場合は必ずセットします。）","このイベントが2枚セットされているキャラは「【相手ターン中】【現場リムーブ時】」を2つ持ちますか？":"はい。ですので、条件を満たした場合は2つとも発動します。","【相手ターン中】【現場リムーブ時】とはなんですか？":"【現場リムーブ時】の能力は、現場にいるこのキャラがリムーブされた（リムーブエリアに置かれた）ときに発動します。なのでこの能力は、相手のターン中に現場からリムーブされたときに発動します。"}
B01057P	0049	「最も出会いたくない…恋人ってトコロかな？」	白	5	CP	1714013041179851.jpg	このイベントを自分の現場にいる【白】のキャラ1枚にセットする。\nこのイベントがセットされているキャラは「【相手ターン中】【現場リムーブ時】手札からレベル7以下の【白】のキャラを1枚まで登場させる。」を持つ。		【ヒラメキ】（証拠からリムーブされるときに発動する）カードを1枚引く。			{"「セットする」とは何ですか？":"キャラ1枚に、このイベントが付いた状態になります。セットされているキャラが現場を離れる場合、このイベントはリムーブされます。","自分の現場にキャラが1枚もない場合でもこのイベントを使用できますか？":"はい、可能です。「セットする」を実行できない場合、このイベントは解決後にリムーブエリアに置かれます。（ただし、セットできるキャラがいる場合は必ずセットします。）","このイベントが2枚セットされているキャラは「【相手ターン中】【現場リムーブ時】」を2つ持ちますか？":"はい。ですので、条件を満たした場合は2つとも発動します。","【相手ターン中】【現場リムーブ時】とはなんですか？":"【現場リムーブ時】の能力は、現場にいるこのキャラがリムーブされた（リムーブエリアに置かれた）ときに発動します。なのでこの能力は、相手のターン中に現場からリムーブされたときに発動します。"}
B01058	0050	トッ	白	4	C	1714013041182399.jpg	【白】のキャラを1枚まで選び、ターン終了時まで〚突撃［事件］〛を与える。このターン中、次に相手の証拠がリムーブされたとき、スリープ状態のキャラを1枚まで選び、スタンさせる。（スタン状態のキャラをアクティブにする場合、代わりにスリープさせる）					{"キャラを選ばなかった（0枚選んだ）場合、「このターン中、次に～」は有効ですか？":"はい、有効です。","「スタンさせる」とはなんですか？":"「スタンさせる」効果を受けたキャラは「スタン状態」となり、カードを上下逆向きにします。スタン状態のキャラは、オートフェイズやカードの効果によってアクティブにする場合、代わりにスリープ状態になります。それまでスタン状態は解除されません。","スタン状態のキャラはアクションで指定できますか？":"はい。スリープ状態のキャラと同様に指定できます。"}
B01076	0066	「開けるんだキャメル…」	赤	6	C	1714013053538532.jpg	自分のリムーブエリアにあるレベル6以下の【赤】のキャラを1枚まで選び、登場させる。					
