cardNum	cardId	title	color	lp	rarity	features	imagePath	effect	illustrator	qAndA
B01001	P001	江戸川コナン	青	1	C		1734349765499910.jpg	【解決編】【事件解決】【スリープ】：自分の証拠が事件レベルの数以上ある場合、ゲームに勝利する。\n【アシスト】【スリープ】：FILEエリアに移動する。自分のFILEエリアにカードが7枚以上ある場合、事件を解決編にする。		{"【事件解決】と【アシスト】は、パートナーがスリープ状態でも行えますか？":"いいえ。どちらの能力も行うためにパートナーをスリープさせる必要があるので、スリープ状態の場合はできません。"}
B01001Sec1	P001	江戸川コナン	青	1	SEC		194400fcb7d2fc.jpg	【解決編】【事件解決】【スリープ】：自分の証拠が事件レベルの数以上ある場合、ゲームに勝利する。\n【アシスト】【スリープ】：FILEエリアに移動する。自分のFILEエリアにカードが7枚以上ある場合、事件を解決編にする。	Line-drawing 青山剛昌	{"【事件解決】と【アシスト】は、パートナーがスリープ状態でも行えますか？":"いいえ。どちらの能力も行うためにパートナーをスリープさせる必要があるので、スリープ状態の場合はできません。"}
B01001Sec2	P001	江戸川コナン	青	1	SEC		194400f47d82b5.jpg	【解決編】【事件解決】【スリープ】：自分の証拠が事件レベルの数以上ある場合、ゲームに勝利する。\n【アシスト】【スリープ】：FILEエリアに移動する。自分のFILEエリアにカードが7枚以上ある場合、事件を解決編にする。	Line-drawing 青山剛昌	{"【事件解決】と【アシスト】は、パートナーがスリープ状態でも行えますか？":"いいえ。どちらの能力も行うためにパートナーをスリープさせる必要があるので、スリープ状態の場合はできません。"}
B01001P	P001	江戸川コナン	青	1	CP		1734349765505926.jpg	【解決編】【事件解決】【スリープ】：自分の証拠が事件レベルの数以上ある場合、ゲームに勝利する。\n【アシスト】【スリープ】：FILEエリアに移動する。自分のFILEエリアにカードが7枚以上ある場合、事件を解決編にする。		{"【事件解決】と【アシスト】は、パートナーがスリープ状態でも行えますか？":"いいえ。どちらの能力も行うためにパートナーをスリープさせる必要があるので、スリープ状態の場合はできません。"}
B01002	P007	工藤新一	青	1	C		1734349765520391.jpg	【解決編】【事件解決】【スリープ】：自分の証拠が事件レベルの数以上ある場合、ゲームに勝利する。\n【アシスト】【スリープ】：FILEエリアに移動する。自分のFILEエリアにカードが7枚以上ある場合、事件を解決編にする。		{"【事件解決】と【アシスト】は、パートナーがスリープ状態でも行えますか？":"いいえ。どちらの能力も行うためにパートナーをスリープさせる必要があるので、スリープ状態の場合はできません。"}
B01002P	P007	工藤新一	青	1	CP		1734349765525113.jpg	【解決編】【事件解決】【スリープ】：自分の証拠が事件レベルの数以上ある場合、ゲームに勝利する。\n【アシスト】【スリープ】：FILEエリアに移動する。自分のFILEエリアにカードが7枚以上ある場合、事件を解決編にする。		{"【事件解決】と【アシスト】は、パートナーがスリープ状態でも行えますか？":"いいえ。どちらの能力も行うためにパートナーをスリープさせる必要があるので、スリープ状態の場合はできません。"}
B01003	P008	灰原哀	青	1	C		1734349765531663.jpg	【解決編】【事件解決】【スリープ】：自分の証拠が事件レベルの数以上ある場合、ゲームに勝利する。\n【アシスト】【スリープ】：FILEエリアに移動する。自分のFILEエリアにカードが7枚以上ある場合、事件を解決編にする。		{"【事件解決】と【アシスト】は、パートナーがスリープ状態でも行えますか？":"いいえ。どちらの能力も行うためにパートナーをスリープさせる必要があるので、スリープ状態の場合はできません。"}
B01003P	P008	灰原哀	青	1	CP		1734349765536267.jpg	【解決編】【事件解決】【スリープ】：自分の証拠が事件レベルの数以上ある場合、ゲームに勝利する。\n【アシスト】【スリープ】：FILEエリアに移動する。自分のFILEエリアにカードが7枚以上ある場合、事件を解決編にする。		{"【事件解決】と【アシスト】は、パートナーがスリープ状態でも行えますか？":"いいえ。どちらの能力も行うためにパートナーをスリープさせる必要があるので、スリープ状態の場合はできません。"}
B01004	P009	毛利小五郎	青	1	C		1734349765541322.jpg	【解決編】【事件解決】【スリープ】：自分の証拠が事件レベルの数以上ある場合、ゲームに勝利する。\n【アシスト】【スリープ】：FILEエリアに移動する。自分のFILEエリアにカードが7枚以上ある場合、事件を解決編にする。		{"【事件解決】と【アシスト】は、パートナーがスリープ状態でも行えますか？":"いいえ。どちらの能力も行うためにパートナーをスリープさせる必要があるので、スリープ状態の場合はできません。"}
B01004P	P009	毛利小五郎	青	1	CP		1734349765547019.jpg	【解決編】【事件解決】【スリープ】：自分の証拠が事件レベルの数以上ある場合、ゲームに勝利する。\n【アシスト】【スリープ】：FILEエリアに移動する。自分のFILEエリアにカードが7枚以上ある場合、事件を解決編にする。		{"【事件解決】と【アシスト】は、パートナーがスリープ状態でも行えますか？":"いいえ。どちらの能力も行うためにパートナーをスリープさせる必要があるので、スリープ状態の場合はできません。"}
