cardNum	cardId	title	color	level	rarity	imagePath	effect	cutIn	hirameki	illustrator	flavor	qAndA
B05022	0528	「オレがついてる!!」	青	4	C	1746628061742543.jpg	相手の現場にいるキャラを好きな数選び、ターン終了時まで元のAPを0にする。					Q：「元のAPを0にする」とは何ですか？\nA：そのキャラにもともと書かれているAPが0として扱われるようになります。そのため、能力や効果によって受けている修整（プラスやマイナス）は残ります。\n\nQ：APが0になったキャラはリムーブされますか？\nA：いいえ。キャラがAPの数値によってリムーブされることはありません。
B05023	0529	「探偵の毛利小五郎でございます…」	青	5	C	1746628061747450.jpg	以下から1つ選んで行う。自分の現場に〚カード名［毛利小五郎］〛がいる場合、代わりに2つとも行う。(上から順に行う)\n・〚特徴［毛利探偵事務所］〛のキャラを1枚まで選び、ターン終了時まで〚突撃〛（登場したターンからすぐにアクションできる）を与える。\n・キャラを1枚まで選び、スリープさせる。カードを1枚引く。					Q：「キャラを1枚まで選び、スリープさせる。カードを1枚引く。」を行う場合、キャラを1枚も選ばず（スリープさせず）にカードを1枚引くことはできますか？\nA：はい。キャラを1枚も選ばないことは可能で、その場合もカードを1枚引きます。\n\nQ：条件を満たしている場合でも、2つではなく1つ選んで行うことはできますか？\nA：いいえ。条件を満たしている場合は2つとも行います。（そのうえで、「1枚まで選び、～」の効果では0枚を選択できます。）
B05023P	0529	「探偵の毛利小五郎でございます…」	青	5	CP	1747231489449989.jpg	以下から1つ選んで行う。自分の現場に〚カード名［毛利小五郎］〛がいる場合、代わりに2つとも行う。(上から順に行う)\n・〚特徴［毛利探偵事務所］〛のキャラを1枚まで選び、ターン終了時まで〚突撃〛（登場したターンからすぐにアクションできる）を与える。\n・キャラを1枚まで選び、スリープさせる。カードを1枚引く。					Q：「キャラを1枚まで選び、スリープさせる。カードを1枚引く。」を行う場合、キャラを1枚も選ばず（スリープさせず）にカードを1枚引くことはできますか？\nA：はい。キャラを1枚も選ばないことは可能で、その場合もカードを1枚引きます。\n\nQ：条件を満たしている場合でも、2つではなく1つ選んで行うことはできますか？\nA：いいえ。条件を満たしている場合は2つとも行います。（そのうえで、「1枚まで選び、～」の効果では0枚を選択できます。）
B05041	0545	「オレのそばから離れんなや…」	緑	8	C	1746628061768441.jpg	このイベントを自分の現場にいる【緑】のキャラ1枚にセットする。\nこのイベントがセットされているキャラは、相手の能力や効果によってリムーブされず、スリープされず、スタンされない。		【ヒラメキ】（証拠からリムーブされるときに発動する）このカードを手札に加える。			Q：このイベントがセットされている相手のキャラを、能力や効果によって選ぶことはできますか？\nA：はい。選ぶことは《「オレのそばから離れんなや…」/0545/B05041》では妨げられません。そのうえで、リムーブする効果を受けてもリムーブされず、スリープさせる効果を受けてもスリープ状態にならず、スタンさせる効果を受けてもスタン状態になりません。\n\nQ：このイベントがセットされている相手のキャラを、コンタクトによってリムーブすることはできますか？\nA：はい。コンタクトによるリムーブは（能力や効果によるリムーブに該当しないので）このイベントでは妨げられません。\n\nQ：このイベントがセットされている相手のキャラを、「デッキの下に移す」能力や効果で移すことはできますか？\nA：はい。リムーブする、スリープさせる、スタンさせる以外の効果は、このイベントでは妨げられません。
B05041P	0545	「オレのそばから離れんなや…」	緑	8	CP	1747231524117598.jpg	このイベントを自分の現場にいる【緑】のキャラ1枚にセットする。\nこのイベントがセットされているキャラは、相手の能力や効果によってリムーブされず、スリープされず、スタンされない。		【ヒラメキ】（証拠からリムーブされるときに発動する）このカードを手札に加える。			Q：このイベントがセットされている相手のキャラを、能力や効果によって選ぶことはできますか？\nA：はい。選ぶことは《「オレのそばから離れんなや…」/0545/B05041》では妨げられません。そのうえで、リムーブする効果を受けてもリムーブされず、スリープさせる効果を受けてもスリープ状態にならず、スタンさせる効果を受けてもスタン状態になりません。\n\nQ：このイベントがセットされている相手のキャラを、コンタクトによってリムーブすることはできますか？\nA：はい。コンタクトによるリムーブは（能力や効果によるリムーブに該当しないので）このイベントでは妨げられません。\n\nQ：このイベントがセットされている相手のキャラを、「デッキの下に移す」能力や効果で移すことはできますか？\nA：はい。リムーブする、スリープさせる、スタンさせる以外の効果は、このイベントでは妨げられません。
B05042	0546	ラブリースポット	緑	6	C	1746628061773823.jpg	自分のデッキのカードを上からイベントが出るまで1枚ずつ公開し、それを手札に加える。残りの公開したカードをデッキの下に移し、デッキをシャッフルする。手札からレベル6以下の【緑】の〚カード名［ラブリースポット］〛以外のイベントを1枚まで使用する。	【カットイン】AP＋2000（コンタクト中に手札からリムーブして使う）				Q：イベントが見つからず、デッキのカードをすべて公開した場合はどうなりますか？\nA：何も手札に加えず、公開したカードをすべてデッキに移してからシャッフルします。その場合でも、手札から条件を満たしているイベントを使用することができます。\n\nQ：イベントが公開されたとき、それを手札に加えないことはできますか？\nA：いいえ、必ずそれ（条件に合うカードで最初に公開されたもの）を手札に加えます。\n\nQ：この効果でイベントを使用するとどうなりますか？\nA：「手札の使用」や「ネクストヒント」で使用したときと同様に、イベントの効果を解決してリムーブします。「セットする」効果があればセットできます。\n\nQ：《「立てや坂田ァ!!」/0202/B02032》のような使用に条件のあるイベントを使用する場合、その条件を満たしていなければ使用できませんか？\nA：はい。イベントのテキストで書かれている条件を満たしている必要があります。
B05061	0563	終極	白	6	C	1746628061793825.jpg	【パートナー白】自分のデッキのカードを上から7枚リムーブしてもよい。そうした場合、相手の現場にいるキャラを1枚まで選び、デッキの下に移す。					Q：自分のデッキが6枚以下の場合、すべてリムーブしてキャラを選ぶことはできますか？\nA：いいえ。「自分のデッキのカードを上から7枚リムーブする」が実行できない場合、それ以降の効果は解決できません。
B05061P	0563	終極	白	6	CP	1747231524159008.jpg	【パートナー白】自分のデッキのカードを上から7枚リムーブしてもよい。そうした場合、相手の現場にいるキャラを1枚まで選び、デッキの下に移す。					Q：自分のデッキが6枚以下の場合、すべてリムーブしてキャラを選ぶことはできますか？\nA：いいえ。「自分のデッキのカードを上から7枚リムーブする」が実行できない場合、それ以降の効果は解決できません。
B05062	0564	鈴木家と京極真	白	7	C	1746628061798819.jpg	以下から1つ選んで行う。自分のリムーブエリアに〚カード名［京極真］〛か〚特徴［鈴木財閥］〛のキャラが合わせて4枚以上ある場合、代わりに3つとも行う。(上から順に行う)\n・カードを2枚引き、手札を1枚リムーブする。\n・自分のリムーブエリアにあるレベル7以下の〚カード名［京極真］〛かレベル7以下の〚特徴［鈴木財閥］〛のキャラを1枚まで選び、登場させる。\n・レベル7以下のキャラを1枚まで選び、スリープさせる。					Q：条件を満たしている場合でも、3つではなく1つ選んで行うことはできますか？\nA：いいえ。条件を満たしている場合は3つとも行います。（そのうえで、「1枚まで選び、～」の効果では0枚を選択できます。）\n\nQ：3つとも行う場合、途中でリフレッシュなどにより「～4枚以上ある場合」の条件を満たさなくなったらどうなりますか？\nA：そのまま3つとも行います。\n\nQ：デッキが残り1枚の場合に「・カードを2枚引き、手札を1枚リムーブする。」を行ったらどうなりますか？\nA：カードを1枚引いた時点で「リフレッシュ」を行い、残りの効果（カードを1枚引き、手札を1枚リムーブする）を解決します。\n\nQ：すでに自分の現場にキャラが5枚いる場合、キャラを登場させることはできますか？\nA：はい、可能です。その場合は自分の現場にいるキャラを1枚リムーブして登場させることができます。（これを「スイッチ」と言います。）\n\nQ：能力や効果によって登場したキャラの【登場時】能力は発動しますか？\nA：はい、発動します。
B05081	0581	威嚇射撃	赤	6	C	1746628078723000.jpg	このイベントは自分の現場にいるキャラが相手の現場にいるキャラより少ない場合に使用できる。\nキャラを1枚まで選び、リムーブする。					
