cardNum	cardId	title	color	rarity	imagePath	difficultyFirst	difficultySecond	effect	illustrator	qAndA
B05024	0530	妃弁護士SOS	青	C	1745322178420472.jpg	7	6	この事件が解決編になったとき、自分は手札を1枚リムーブする。\n【解決編】【宣言】【ターン1】〚裏向きの証拠を3つ表向きにする〛：自分の現場にいるレベル5以上の〚カード名［毛利小五郎］〛を1枚まで選び、ターン終了時まで〚突撃［キャラ］〛（登場したターンからすぐにキャラを指定してアクションできる）と〚ブレット〛（このキャラのアクションはガードできない）を与える。		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\n●【宣言】能力\n\nQ：【宣言】能力の「裏向きの証拠を3つ表向きにする」は、相手の証拠を表向きにすることができますか？\nA：いいえ。【宣言】能力の「:」より左にあるテキスト（コスト）では、自分のカードしか使うことができません。\n\nQ：自分の裏向きの証拠が2つ以下の場合、それらをすべて表向きにすることで【宣言】能力を使用できますか？\nA：いいえ。3つ表向きにできない場合は【宣言】能力を使用できません。
B05063	0565	園子のアブない夏物語	白	C	1745322205558901.jpg	7	6	この事件が解決編になったとき、自分は手札を1枚リムーブする。\n【解決編】【宣言】【ターン1】〚裏向きの証拠を3つ表向きにする〛：手札からレベル8以下の〚カード名［京極真］〛のキャラを1枚まで登場させる。ターン終了時までそのキャラに「ターン終了時、このキャラを現場から手札に移す。」を与える。この能力は自分の現場に〚特徴［鈴木財閥］〛のキャラが3枚以上いる場合に宣言できる。		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\n●【宣言】能力\n\nQ：能力で登場させたカード名［京極真］のキャラが【変装】した場合、「ターン終了時、このキャラを現場から手札に移す。」は入れ替わったキャラにも引き継がれますか？\nA：はい。引き継がれます。\n\nQ：【宣言】能力の「裏向きの証拠を3つ表向きにする」は、相手の証拠を表向きにすることができますか？\nA：いいえ。【宣言】能力の「:」より左にあるテキスト（コスト）では、自分のカードしか使うことができません。\n\nQ：自分の裏向きの証拠が2つ以下の場合、それらをすべて表向きにすることで【宣言】能力を使用できますか？\nA：いいえ。3つ表向きにできない場合は【宣言】能力を使用できません。
B05083	0583	太閤名人の将棋盤	赤	C	1745322226173614.jpg	7	6	この事件が解決編になったとき、自分は手札を1枚リムーブする。\n【解決編】【宣言】【ターン1】〚裏向きの証拠を3つ表向きにする〛：自分のリムーブエリアにある〚特徴［赤井家］〛のキャラを1枚まで選び、手札に加える。この能力は自分のFILEエリアにあるカードが5枚以下で、自分の現場に〚特徴［赤井家］〛のキャラが3枚以上いる場合に宣言できる。		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\n●【宣言】能力\n\nQ：「自分のFILEエリアにあるカード」は、【アシスト】しているパートナーも数えますか？\nA：はい、数えます。\n\nQ：【宣言】能力の「裏向きの証拠を3つ表向きにする」は、相手の証拠を表向きにすることができますか？\nA：いいえ。【宣言】能力の「:」より左にあるテキスト（コスト）では、自分のカードしか使うことができません。\n\nQ：自分の裏向きの証拠が2つ以下の場合、それらをすべて表向きにすることで【宣言】能力を使用できますか？\nA：いいえ。3つ表向きにできない場合は【宣言】能力を使用できません。
B05118	0614	裏切りの制裁	赤,黒	C	1745322246386104.jpg	7	6	この事件が解決編になったとき、相手はカードを1枚引く。\n自分の【黒】のパートナーの【事件解決】能力を以下の能力に書き換える。\n【解決編】【証拠隠滅】【スリープ】〚証拠を事件レベルの数だけリムーブする〛：相手はゲームに敗北する。		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\nQ：【黒】以外のパートナーをこの事件と一緒に使用できますか？\nA：はい、可能です。その場合は能力を書き換えないので、パートナーの【事件解決】能力はそのままです。
B05119	0615	裏切りの矛先	黄,黒	C	1745322246391190.jpg	7	6	この事件が解決編になったとき、相手はカードを1枚引く。\n自分の【黒】のパートナーの【事件解決】能力を以下の能力に書き換える。\n【解決編】【証拠隠滅】【スリープ】〚証拠を事件レベルの数だけリムーブする〛：相手はゲームに敗北する。		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\nQ：【黒】以外のパートナーをこの事件と一緒に使用できますか？\nA：はい、可能です。その場合は能力を書き換えないので、パートナーの【事件解決】能力はそのままです。
B05120	0616	集められた名探偵	青,緑,白,赤,黄	C	1746628078764522.jpg	7	6	この事件が解決編になったとき、相手はカードを1枚引く。\n自分は〚特徴［探偵］〛以外のキャラを手札から使用できない。（ネクストヒントでの使用も「手札から使用」に含まれる）		Q：特徴［探偵］以外のキャラで【カットイン】や【変装】することはできますか？\nA：はい、可能です。効果による登場や【カットイン】【変装】【ヒラメキ】などは、この事件の能力による制限を受けません。また、イベントの使用には（色以外の）制限はありません。\n\nQ：《服部平次/0167/D06003》の【事件 緑＆白】能力は、この事件カードを使用した場合は有効になりますか？\nA：はい。【緑】も【白】も持っているので有効になります。\n\nQ：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。
B05024P	0530	妃弁護士SOS	青	CP	1747231489454336.jpg	7	6	この事件が解決編になったとき、自分は手札を1枚リムーブする。\n【解決編】【宣言】【ターン1】〚裏向きの証拠を3つ表向きにする〛：自分の現場にいるレベル5以上の〚カード名［毛利小五郎］〛を1枚まで選び、ターン終了時まで〚突撃［キャラ］〛（登場したターンからすぐにキャラを指定してアクションできる）と〚ブレット〛（このキャラのアクションはガードできない）を与える。		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\n●【宣言】能力\n\nQ：【宣言】能力の「裏向きの証拠を3つ表向きにする」は、相手の証拠を表向きにすることができますか？\nA：いいえ。【宣言】能力の「:」より左にあるテキスト（コスト）では、自分のカードしか使うことができません。\n\nQ：自分の裏向きの証拠が2つ以下の場合、それらをすべて表向きにすることで【宣言】能力を使用できますか？\nA：いいえ。3つ表向きにできない場合は【宣言】能力を使用できません。
B05063P	0565	園子のアブない夏物語	白	CP	1747231524164483.jpg	7	6	この事件が解決編になったとき、自分は手札を1枚リムーブする。\n【解決編】【宣言】【ターン1】〚裏向きの証拠を3つ表向きにする〛：手札からレベル8以下の〚カード名［京極真］〛のキャラを1枚まで登場させる。ターン終了時までそのキャラに「ターン終了時、このキャラを現場から手札に移す。」を与える。この能力は自分の現場に〚特徴［鈴木財閥］〛のキャラが3枚以上いる場合に宣言できる。		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\n●【宣言】能力\n\nQ：能力で登場させたカード名［京極真］のキャラが【変装】した場合、「ターン終了時、このキャラを現場から手札に移す。」は入れ替わったキャラにも引き継がれますか？\nA：はい。引き継がれます。\n\nQ：【宣言】能力の「裏向きの証拠を3つ表向きにする」は、相手の証拠を表向きにすることができますか？\nA：いいえ。【宣言】能力の「:」より左にあるテキスト（コスト）では、自分のカードしか使うことができません。\n\nQ：自分の裏向きの証拠が2つ以下の場合、それらをすべて表向きにすることで【宣言】能力を使用できますか？\nA：いいえ。3つ表向きにできない場合は【宣言】能力を使用できません。
B05083P	0583	太閤名人の将棋盤	赤	CP	1747231543046184.jpg	7	6	この事件が解決編になったとき、自分は手札を1枚リムーブする。\n【解決編】【宣言】【ターン1】〚裏向きの証拠を3つ表向きにする〛：自分のリムーブエリアにある〚特徴［赤井家］〛のキャラを1枚まで選び、手札に加える。この能力は自分のFILEエリアにあるカードが5枚以下で、自分の現場に〚特徴［赤井家］〛のキャラが3枚以上いる場合に宣言できる。		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\n●【宣言】能力\n\nQ：「自分のFILEエリアにあるカード」は、【アシスト】しているパートナーも数えますか？\nA：はい、数えます。\n\nQ：【宣言】能力の「裏向きの証拠を3つ表向きにする」は、相手の証拠を表向きにすることができますか？\nA：いいえ。【宣言】能力の「:」より左にあるテキスト（コスト）では、自分のカードしか使うことができません。\n\nQ：自分の裏向きの証拠が2つ以下の場合、それらをすべて表向きにすることで【宣言】能力を使用できますか？\nA：いいえ。3つ表向きにできない場合は【宣言】能力を使用できません。
B05118P	0614	裏切りの制裁	赤,黒	CP	1747231561680396.jpg	7	6	この事件が解決編になったとき、相手はカードを1枚引く。\n自分の【黒】のパートナーの【事件解決】能力を以下の能力に書き換える。\n【解決編】【証拠隠滅】【スリープ】〚証拠を事件レベルの数だけリムーブする〛：相手はゲームに敗北する。		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\nQ：【黒】以外のパートナーをこの事件と一緒に使用できますか？\nA：はい、可能です。その場合は能力を書き換えないので、パートナーの【事件解決】能力はそのままです。
B05119P	0615	裏切りの矛先	黄,黒	CP	1747231561685949.jpg	7	6	この事件が解決編になったとき、相手はカードを1枚引く。\n自分の【黒】のパートナーの【事件解決】能力を以下の能力に書き換える。\n【解決編】【証拠隠滅】【スリープ】〚証拠を事件レベルの数だけリムーブする〛：相手はゲームに敗北する。		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\nQ：【黒】以外のパートナーをこの事件と一緒に使用できますか？\nA：はい、可能です。その場合は能力を書き換えないので、パートナーの【事件解決】能力はそのままです。
