cardNum	cardId	title	color	level	ap	lp	rarity	features	imagePath	effect	cutIn	hirameki	henso	illustrator	flavor	qAndA
D07002	0388	シェリー	黒	2	1000	1	D	黒ずくめの組織	1729865281996741.jpg		【カットイン】AP＋2000（コンタクト中に手札からリムーブして使う）			松田硯		
D07003	0388	シェリー	黒	2	1000	1	D	黒ずくめの組織	1729865282001483.jpg		【カットイン】AP＋2000（コンタクト中に手札からリムーブして使う）			松田硯		
D07004	0389	ジン	黒	8	7000	2	D	黒ずくめの組織	1729865282004728.jpg	【パートナー黒】【登場時】手札を1枚リムーブしてもよい。そうした場合、AP8000以下のキャラを1枚まで選び、リムーブする。				松田硯		
D07005	0389	ジン	黒	8	7000	2	D	黒ずくめの組織	1729865282008221.jpg	【パートナー黒】【登場時】手札を1枚リムーブしてもよい。そうした場合、AP8000以下のキャラを1枚まで選び、リムーブする。				松田硯		
D07006	0390	バーボン	黒	7	6000	1	D	黒ずくめの組織	1729865282012909.jpg	【パートナー黒】〚迅速〛（登場したターンからすぐに推理かアクションできる）						
D07007	0390	バーボン	黒	7	6000	1	D	黒ずくめの組織	1729865282015173.jpg	【パートナー黒】〚迅速〛（登場したターンからすぐに推理かアクションできる）						
D07008	0391	ベルモット	黒	6	5000	1	D	黒ずくめの組織	1729865282020119.jpg	【宣言】【スリープ】〚デッキの下に移す〛：手札からレベル5以下のキャラを1枚まで登場させる。ターン終了時までそのキャラに〚突撃〛（登場したターンからすぐにアクションできる）を与える。		【ヒラメキ】（証拠からリムーブされるときに発動する）キャラを1枚まで選び、スリープさせる。				{"【宣言】能力の「デッキの下に移す」は、何をデッキの下に移せばいいですか？":"このキャラ自身です。なのでこの能力はコストとして、このキャラ自身をスリープさせ、デッキの下に移すことで使用することができます。"}
D07009	0391	ベルモット	黒	6	5000	1	D	黒ずくめの組織	1729865282024731.jpg	【宣言】【スリープ】〚デッキの下に移す〛：手札からレベル5以下のキャラを1枚まで登場させる。ターン終了時までそのキャラに〚突撃〛（登場したターンからすぐにアクションできる）を与える。		【ヒラメキ】（証拠からリムーブされるときに発動する）キャラを1枚まで選び、スリープさせる。				{"【宣言】能力の「デッキの下に移す」は、何をデッキの下に移せばいいですか？":"このキャラ自身です。なのでこの能力はコストとして、このキャラ自身をスリープさせ、デッキの下に移すことで使用することができます。"}
D07010	0392	ラム	黒	6	6000	1	D	黒ずくめの組織	1729865282028760.jpg	【自分ターン中】自分の現場にいるこのキャラ以外の【黒】のキャラをAP＋1000する。		【ヒラメキ】（証拠からリムーブされるときに発動する）カードを1枚引く。				{"【自分ターン中】能力では特にキャラを選んだりしませんが、どのようにキャラをAP＋1000するのでしょうか？":"「自分の現場にいるこのキャラ以外の【黒】のキャラ」すべてをAP＋1000します。（この能力は発動するものではなく、有効である限り自動的に影響を及ぼします。）","自分の現場に《ラム/0392/D07010》が2枚いる場合、自分のターン中、自分の現場にいるそれら以外の【黒】のキャラはAP＋2000されますか？":"はい。それぞれによるAP＋1000が重複します。《ラム/0392/D07010》はそれぞれもう一方をAP＋1000します。"}
D07011	0392	ラム	黒	6	6000	1	D	黒ずくめの組織	1729865282032330.jpg	【自分ターン中】自分の現場にいるこのキャラ以外の【黒】のキャラをAP＋1000する。		【ヒラメキ】（証拠からリムーブされるときに発動する）カードを1枚引く。				{"【自分ターン中】能力では特にキャラを選んだりしませんが、どのようにキャラをAP＋1000するのでしょうか？":"「自分の現場にいるこのキャラ以外の【黒】のキャラ」すべてをAP＋1000します。（この能力は発動するものではなく、有効である限り自動的に影響を及ぼします。）","自分の現場に《ラム/0392/D07010》が2枚いる場合、自分のターン中、自分の現場にいるそれら以外の【黒】のキャラはAP＋2000されますか？":"はい。それぞれによるAP＋1000が重複します。《ラム/0392/D07010》はそれぞれもう一方をAP＋1000します。"}
D07012	0393	ウォッカ	黒	5	5000	0	D	黒ずくめの組織	1729865282035249.jpg	【パートナー黒】〚突撃〛（登場したターンからすぐにアクションできる）						
D07013	0393	ウォッカ	黒	5	5000	0	D	黒ずくめの組織	1729865282039523.jpg	【パートナー黒】〚突撃〛（登場したターンからすぐにアクションできる）						
D07014	0394	ライ	黒	5	5000	1	D	黒ずくめの組織	1729865282043965.jpg	【相手ターン中】【現場リムーブ時】相手の現場にいるレベル4以下のキャラを1枚まで選び、リムーブする。リムーブした場合、相手はカードを1枚引く。						{"【相手ターン中】【現場リムーブ時】とはなんですか？":"【現場リムーブ時】の能力は、現場にいるこのキャラがリムーブされた（リムーブエリアに置かれた）ときに発動します。なのでこの能力は、相手のターン中に現場からリムーブされたときに発動します。"}
D07015	0394	ライ	黒	5	5000	1	D	黒ずくめの組織	1729865282047344.jpg	【相手ターン中】【現場リムーブ時】相手の現場にいるレベル4以下のキャラを1枚まで選び、リムーブする。リムーブした場合、相手はカードを1枚引く。						{"【相手ターン中】【現場リムーブ時】とはなんですか？":"【現場リムーブ時】の能力は、現場にいるこのキャラがリムーブされた（リムーブエリアに置かれた）ときに発動します。なのでこの能力は、相手のターン中に現場からリムーブされたときに発動します。"}
