cardNum	cardId	title	color	rarity	imagePath	difficultyFirst	difficultySecond	effect	illustrator	qAndA
B09090	1030	風の女神	黄	C	1775608926366312.jpg	7	6	この事件が解決編になったとき、自分は手札を1枚リムーブする。\n【解決編】【宣言】【ターン1】〚手札から、〚特徴［神奈川県警］〛のキャラか【疾風】を持つキャラを1枚リムーブする〛：このターン中、次に自分の現場に登場したキャラは【疾風】の条件を無視できる。（2番目以降に登場しても発動する）		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\n●【宣言】能力\n\nQ：【宣言】能力のコストでは、（アイコンの条件を満たしていないなどで）有効でない【疾風】能力を持つキャラをリムーブできますか？\nA：はい。有効かどうかに関係なく【疾風】能力を持つキャラをリムーブできます。\n\nQ：この【宣言】能力を使用したあと、次に自分の現場に登場したキャラが【疾風】を持たず、その次に登場したキャラが【疾風】を持つ場合、その能力は条件を無視できますか？\nA：いいえ、できません。【疾風】を持つかどうかにかかわらず、【宣言】能力を使用したあとで次に登場したキャラのみが【疾風】の条件を無視できます。\n\nQ：この【宣言】能力を使用した後で次に自分の現場に登場したキャラは、【疾風】能力が有効になる条件（【FILE○】のアイコンなど）も無視できますか？\nA：いいえ。この【宣言】能力で無視できるのは【疾風】そのもの条件（自分の現場にこのターンで1番に登場したときに発動する）のみです。そのほかの条件によって有効でない場合、能力は発動しません。
B09090P	1030	風の女神	黄	CP	1775693378172881.jpg	7	6	この事件が解決編になったとき、自分は手札を1枚リムーブする。\n【解決編】【宣言】【ターン1】〚手札から、〚特徴［神奈川県警］〛のキャラか【疾風】を持つキャラを1枚リムーブする〛：このターン中、次に自分の現場に登場したキャラは【疾風】の条件を無視できる。（2番目以降に登場しても発動する）		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\n●【宣言】能力\n\nQ：【宣言】能力のコストでは、（アイコンの条件を満たしていないなどで）有効でない【疾風】能力を持つキャラをリムーブできますか？\nA：はい。有効かどうかに関係なく【疾風】能力を持つキャラをリムーブできます。\n\nQ：この【宣言】能力を使用したあと、次に自分の現場に登場したキャラが【疾風】を持たず、その次に登場したキャラが【疾風】を持つ場合、その能力は条件を無視できますか？\nA：いいえ、できません。【疾風】を持つかどうかにかかわらず、【宣言】能力を使用したあとで次に登場したキャラのみが【疾風】の条件を無視できます。\n\nQ：この【宣言】能力を使用した後で次に自分の現場に登場したキャラは、【疾風】能力が有効になる条件（【FILE○】のアイコンなど）も無視できますか？\nA：いいえ。この【宣言】能力で無視できるのは【疾風】そのもの条件（自分の現場にこのターンで1番に登場したときに発動する）のみです。そのほかの条件によって有効でない場合、能力は発動しません。
B09090P2	1030	風の女神	黄	CP2	1775693378200357.jpg	7	6	この事件が解決編になったとき、自分は手札を1枚リムーブする。\n【解決編】【宣言】【ターン1】〚手札から、〚特徴［神奈川県警］〛のキャラか【疾風】を持つキャラを1枚リムーブする〛：このターン中、次に自分の現場に登場したキャラは【疾風】の条件を無視できる。（2番目以降に登場しても発動する）		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\n●【宣言】能力\n\nQ：【宣言】能力のコストでは、（アイコンの条件を満たしていないなどで）有効でない【疾風】能力を持つキャラをリムーブできますか？\nA：はい。有効かどうかに関係なく【疾風】能力を持つキャラをリムーブできます。\n\nQ：この【宣言】能力を使用したあと、次に自分の現場に登場したキャラが【疾風】を持たず、その次に登場したキャラが【疾風】を持つ場合、その能力は条件を無視できますか？\nA：いいえ、できません。【疾風】を持つかどうかにかかわらず、【宣言】能力を使用したあとで次に登場したキャラのみが【疾風】の条件を無視できます。\n\nQ：この【宣言】能力を使用した後で次に自分の現場に登場したキャラは、【疾風】能力が有効になる条件（【FILE○】のアイコンなど）も無視できますか？\nA：いいえ。この【宣言】能力で無視できるのは【疾風】そのもの条件（自分の現場にこのターンで1番に登場したときに発動する）のみです。そのほかの条件によって有効でない場合、能力は発動しません。
B09107	1046	犯人たちの犯行	黒	C	1775608944008645.jpg	0	0	自分は【事件解決】できない。\n【解決編】【宣言】【ターン1】〚デッキのカードをすべてリムーブする〛：自分の証拠をすべて表向きにする。自分の証拠に〚特徴［犯人］〛のカードが8枚以上ある場合、相手はゲームに敗北する。		●【宣言】能力\n\nQ：コストの支払いでデッキのカードをすべてリムーブしたとき、リフレッシュはどのタイミングで行いますか？\nA：コストを支払った時点で（この【宣言】能力の効果を解決するより前に）行います。\n\nQ：自分の証拠に特徴［犯人］以外のカードがあっても、特徴［犯人］のカードが8枚以上あれば相手はゲームに敗北しますか？\nA：はい。条件を満たしているので相手はゲームに敗北します。
B09107P	1046	犯人たちの犯行	黒	CP	1775608944016936.jpg	0	0	自分は【事件解決】できない。\n【解決編】【宣言】【ターン1】〚デッキのカードをすべてリムーブする〛：自分の証拠をすべて表向きにする。自分の証拠に〚特徴［犯人］〛のカードが8枚以上ある場合、相手はゲームに敗北する。		●【宣言】能力\n\nQ：コストの支払いでデッキのカードをすべてリムーブしたとき、リフレッシュはどのタイミングで行いますか？\nA：コストを支払った時点で（この【宣言】能力の効果を解決するより前に）行います。\n\nQ：自分の証拠に特徴［犯人］以外のカードがあっても、特徴［犯人］のカードが8枚以上あれば相手はゲームに敗北しますか？\nA：はい。条件を満たしているので相手はゲームに敗北します。
B09111	1050	外交官殺人事件	青,緑	C	1775608962359001.jpg	7	6	この事件が解決編になったとき、自分は手札を1枚リムーブする。\n【解決編】【宣言】【ターン1】〚裏向きの証拠を2つ表向きにする〛：カード名を1つ指定し、相手のFILEエリアにあるカードを上から1枚リムーブし、相手はデッキのカードを上から1枚裏向きのままFILEエリアの上に置く。この効果によって指定したカード名のカードがリムーブされた場合、レベル6のキャラを1枚まで選び、ターン終了時まで〚突撃［キャラ］〛を与える。		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\n●【宣言】能力\n\nQ：相手のFILEエリアにある（【アシスト】した）パートナーカードをリムーブすることはできますか？\nA：いいえ。パートナーカードを除いて上から1枚をリムーブします。\n\nQ：相手のFILEエリアからリムーブしたカードが（リフレッシュなどによって）リムーブエリアにない場合、「この効果によって～」以降の効果を解決できますか？\nA：はい。その場合でも指定したカード名のカードがリムーブされていた場合、レベル6のキャラを選んで突撃［キャラ］を与えることができます。\n\nQ：【宣言】能力の「裏向きの証拠を2つ表向きにする」は、相手の証拠を表向きにすることができますか？\nA：いいえ。【宣言】能力の「:」より左にあるテキスト（コスト）では、自分のカードしか使うことができません。\n\nQ：【宣言】能力の「裏向きの証拠を2つ表向きにする」は、好きな場所の証拠を表向きにすることができますか？\nA：はい。好きな場所のものを2つ選べます。ただし、証拠の順番を変えることはできません。\n\nQ：自分の裏向きの証拠が1つしかない場合、それを表向きにすることで【宣言】能力を使用できますか？\nA：いいえ。2つ表向きにできない場合は【宣言】能力を使用できません。\n\n●「カード名を1つ指定する」\n\nQ：「カード名を1つ指定する」は、どの範囲まで指定する必要がありますか？\nA：『名探偵コナントレーディングカードゲーム』に存在するカードの名前から1つを指定します。カードNoやIDなど、特定のカードまで絞る必要はありません。（例：「江戸川コナン」を指定した場合、カード名［江戸川コナン］を持つすべてのカードが該当します。）\n\nQ：キャラの名前が複数あるカード名を指定することはできますか？\nA：はい。『名探偵コナントレーディングカードゲーム』に存在するカード名であれば可能です。ただし、例として「江戸川コナン＆工藤新一」を指定した場合はカード名［江戸川コナン＆工藤新一］のカードのみ該当します（カード名［江戸川コナン］とカード名［工藤新一］のカードは該当しません）。\n\nQ：「カード名を1つ指定する」は、正確でなければなりませんか？\nA：カード名が特定できるならば、多少の省略や間違いも許容されます（ただし「毛利」や「服部」など、複数のカード名が該当しうる省略は不適当です）。対戦相手は、示された情報だけでは1つに特定できないと判断したなら追加の情報を求めてください。
B09111P	1050	外交官殺人事件	青,緑	CP	1775608962369412.jpg	7	6	この事件が解決編になったとき、自分は手札を1枚リムーブする。\n【解決編】【宣言】【ターン1】〚裏向きの証拠を2つ表向きにする〛：カード名を1つ指定し、相手のFILEエリアにあるカードを上から1枚リムーブし、相手はデッキのカードを上から1枚裏向きのままFILEエリアの上に置く。この効果によって指定したカード名のカードがリムーブされた場合、レベル6のキャラを1枚まで選び、ターン終了時まで〚突撃［キャラ］〛を与える。		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\n●【宣言】能力\n\nQ：相手のFILEエリアにある（【アシスト】した）パートナーカードをリムーブすることはできますか？\nA：いいえ。パートナーカードを除いて上から1枚をリムーブします。\n\nQ：相手のFILEエリアからリムーブしたカードが（リフレッシュなどによって）リムーブエリアにない場合、「この効果によって～」以降の効果を解決できますか？\nA：はい。その場合でも指定したカード名のカードがリムーブされていた場合、レベル6のキャラを選んで突撃［キャラ］を与えることができます。\n\nQ：【宣言】能力の「裏向きの証拠を2つ表向きにする」は、相手の証拠を表向きにすることができますか？\nA：いいえ。【宣言】能力の「:」より左にあるテキスト（コスト）では、自分のカードしか使うことができません。\n\nQ：【宣言】能力の「裏向きの証拠を2つ表向きにする」は、好きな場所の証拠を表向きにすることができますか？\nA：はい。好きな場所のものを2つ選べます。ただし、証拠の順番を変えることはできません。\n\nQ：自分の裏向きの証拠が1つしかない場合、それを表向きにすることで【宣言】能力を使用できますか？\nA：いいえ。2つ表向きにできない場合は【宣言】能力を使用できません。\n\n●「カード名を1つ指定する」\n\nQ：「カード名を1つ指定する」は、どの範囲まで指定する必要がありますか？\nA：『名探偵コナントレーディングカードゲーム』に存在するカードの名前から1つを指定します。カードNoやIDなど、特定のカードまで絞る必要はありません。（例：「江戸川コナン」を指定した場合、カード名［江戸川コナン］を持つすべてのカードが該当します。）\n\nQ：キャラの名前が複数あるカード名を指定することはできますか？\nA：はい。『名探偵コナントレーディングカードゲーム』に存在するカード名であれば可能です。ただし、例として「江戸川コナン＆工藤新一」を指定した場合はカード名［江戸川コナン＆工藤新一］のカードのみ該当します（カード名［江戸川コナン］とカード名［工藤新一］のカードは該当しません）。\n\nQ：「カード名を1つ指定する」は、正確でなければなりませんか？\nA：カード名が特定できるならば、多少の省略や間違いも許容されます（ただし「毛利」や「服部」など、複数のカード名が該当しうる省略は不適当です）。対戦相手は、示された情報だけでは1つに特定できないと判断したなら追加の情報を求めてください。
B09112	1051	キッドVS安室 王妃の前髪	白,黄	C	1775608962378918.jpg	7	6	この事件が解決編になったとき、自分は手札を1枚リムーブする。\n【解決編】【宣言】【ターン1】〚裏向きの証拠を2つ表向きにする〛：カード名を1つ指定し、自分の現場にいる指定したカード名のキャラ1枚につき、自分のデッキのカードを上から1枚見る。その中から指定したカード名のキャラを1枚まで公開して手札に加え、残りを好きな順番でデッキの下に移す。		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\n●【宣言】能力\n\nQ：【宣言】能力の「裏向きの証拠を2つ表向きにする」は、相手の証拠を表向きにすることができますか？\nA：いいえ。【宣言】能力の「:」より左にあるテキスト（コスト）では、自分のカードしか使うことができません。\n\nQ：【宣言】能力の「裏向きの証拠を2つ表向きにする」は、好きな場所の証拠を表向きにすることができますか？\nA：はい。好きな場所のものを2つ選べます。ただし、証拠の順番を変えることはできません。\n\nQ：自分の裏向きの証拠が1つしかない場合、それを表向きにすることで【宣言】能力を使用できますか？\nA：いいえ。2つ表向きにできない場合は【宣言】能力を使用できません。\n\nQ：デッキが「自分の現場にいる指定したカード名のキャラの枚数」より少ない場合はどうすればよいですか？\nA：デッキの残りのカードをすべて見て効果を解決します。（デッキのカードは見たり公開している時点ではまだデッキにある扱いなので、その時点ではまだ「リフレッシュ」は行いません。）1枚だけ見てそれを手札に加えた場合はその時点で「リフレッシュ」を行い、（手札に加えなかった場合など）見たカードが残っている場合はそれをデッキに移します。\n\nQ：条件を満たすカードがあった場合でも手札に加えないことはできますか？\nA：はい、可能です。\n\n●「カード名を1つ指定する」\n\nQ：「カード名を1つ指定する」は、どの範囲まで指定する必要がありますか？\nA：『名探偵コナントレーディングカードゲーム』に存在するカードの名前から1つを指定します。カードNoやIDなど、特定のカードまで絞る必要はありません。（例：「江戸川コナン」を指定した場合、カード名［江戸川コナン］を持つすべてのカードが該当します。）\n\nQ：キャラの名前が複数あるカード名を指定することはできますか？\nA：はい。『名探偵コナントレーディングカードゲーム』に存在するカード名であれば可能です。ただし、例として「江戸川コナン＆工藤新一」を指定した場合はカード名［江戸川コナン＆工藤新一］のカードのみ該当します（カード名［江戸川コナン］とカード名［工藤新一］のカードは該当しません）。\n\nQ：「カード名を1つ指定する」は、正確でなければなりませんか？\nA：カード名が特定できるならば、多少の省略や間違いも許容されます（ただし「毛利」や「服部」など、複数のカード名が該当しうる省略は不適当です）。対戦相手は、示された情報だけでは1つに特定できないと判断したなら追加の情報を求めてください。
B09112P	1051	キッドVS安室 王妃の前髪	白,黄	CP	1775608962387033.jpg	7	6	この事件が解決編になったとき、自分は手札を1枚リムーブする。\n【解決編】【宣言】【ターン1】〚裏向きの証拠を2つ表向きにする〛：カード名を1つ指定し、自分の現場にいる指定したカード名のキャラ1枚につき、自分のデッキのカードを上から1枚見る。その中から指定したカード名のキャラを1枚まで公開して手札に加え、残りを好きな順番でデッキの下に移す。		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\n●【宣言】能力\n\nQ：【宣言】能力の「裏向きの証拠を2つ表向きにする」は、相手の証拠を表向きにすることができますか？\nA：いいえ。【宣言】能力の「:」より左にあるテキスト（コスト）では、自分のカードしか使うことができません。\n\nQ：【宣言】能力の「裏向きの証拠を2つ表向きにする」は、好きな場所の証拠を表向きにすることができますか？\nA：はい。好きな場所のものを2つ選べます。ただし、証拠の順番を変えることはできません。\n\nQ：自分の裏向きの証拠が1つしかない場合、それを表向きにすることで【宣言】能力を使用できますか？\nA：いいえ。2つ表向きにできない場合は【宣言】能力を使用できません。\n\nQ：デッキが「自分の現場にいる指定したカード名のキャラの枚数」より少ない場合はどうすればよいですか？\nA：デッキの残りのカードをすべて見て効果を解決します。（デッキのカードは見たり公開している時点ではまだデッキにある扱いなので、その時点ではまだ「リフレッシュ」は行いません。）1枚だけ見てそれを手札に加えた場合はその時点で「リフレッシュ」を行い、（手札に加えなかった場合など）見たカードが残っている場合はそれをデッキに移します。\n\nQ：条件を満たすカードがあった場合でも手札に加えないことはできますか？\nA：はい、可能です。\n\n●「カード名を1つ指定する」\n\nQ：「カード名を1つ指定する」は、どの範囲まで指定する必要がありますか？\nA：『名探偵コナントレーディングカードゲーム』に存在するカードの名前から1つを指定します。カードNoやIDなど、特定のカードまで絞る必要はありません。（例：「江戸川コナン」を指定した場合、カード名［江戸川コナン］を持つすべてのカードが該当します。）\n\nQ：キャラの名前が複数あるカード名を指定することはできますか？\nA：はい。『名探偵コナントレーディングカードゲーム』に存在するカード名であれば可能です。ただし、例として「江戸川コナン＆工藤新一」を指定した場合はカード名［江戸川コナン＆工藤新一］のカードのみ該当します（カード名［江戸川コナン］とカード名［工藤新一］のカードは該当しません）。\n\nQ：「カード名を1つ指定する」は、正確でなければなりませんか？\nA：カード名が特定できるならば、多少の省略や間違いも許容されます（ただし「毛利」や「服部」など、複数のカード名が該当しうる省略は不適当です）。対戦相手は、示された情報だけでは1つに特定できないと判断したなら追加の情報を求めてください。
B09113	1052	「愛しい愛しい…宿敵さん？」	赤,黒	C	1775608962395563.jpg	7	6	この事件が解決編になったとき、自分は手札を1枚リムーブする。\n【解決編】【宣言】【ターン1】以下から1つ選んで行う。\n・〚痕跡［未発見］〛の場合、自分の裏向きの証拠を1つ表向きにしてもよい。そうした場合、相手のデッキのカードを上から2枚リムーブする。\n・〚痕跡［発見済み］〛で、自分の現場に【赤】と【黒】のキャラがいる場合、自分の裏向きの証拠を3つ表向きにしてもよい。そうした場合、レベル7以下のスリープ状態のキャラを1枚まで選び、リムーブする。		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\n●【宣言】能力\n\nQ：「裏向きの証拠を1つ／3つ表向きにする」は、好きな場所の証拠を表向きにすることができますか？\nA：はい。好きな場所のものを選べます。ただし、証拠の順番を変えることはできません。\n\nQ：痕跡［未発見］の場合、1つ目の選択肢を選ぶことはできますか？\nA：はい、可能です。その場合は何も起こりません（効果のない選択肢を選んで行ったことになります）。痕跡［発見済み］の場合に2つ目の選択肢を選んだ場合も同様です。\n\n●選択肢（1つ目）\n\nQ：相手のデッキが残り1枚の場合、「相手のデッキのカードを上から2枚リムーブする。」はどうなりますか？\nA：可能な限りの枚数（デッキの残りのカードすべて）をリムーブします。その後「リフレッシュ」を行いますが、残りの枚数はリムーブしません。
