cardNum	cardId	title	color	level	ap	lp	rarity	features	imagePath	effect	cutIn	hirameki	henso	illustrator	flavor	qAndA
B08002	0843	江戸川コナン＆灰原哀	青	9	8000	2	MR	探偵,毛利探偵事務所,少年探偵団,科学者	1766493008948768.jpg	【パートナー青】【宣言】【ターン1】キャラを1枚まで選び、リムーブする。リムーブした場合、自分のデッキのカードを上からリムーブしたキャラのレベルと同じ枚数リムーブする。\n【宣言】【ターン1】自分のリムーブエリアにある〚特徴［少年探偵団］〛のキャラを1枚まで選び、自分の現場にいる【青】のキャラ1枚の下に重ねる。この能力はパートナーエリアでも宣言できる。	【カットイン】AP＋2000			松田硯		●【宣言】能力（1つ目）\n\nQ：「自分のデッキのカードを上からリムーブしたキャラのレベルと同じ枚数リムーブする」でリムーブする枚数が、デッキの残り枚数より多い場合はどうなりますか？\nA：可能な限りの枚数（デッキの残りのカードすべて）をリムーブします。その後「リフレッシュ」を行いますが、残りの枚数はリムーブしません。（この効果によるリムーブはコストではないので、選ぶキャラのレベルが自分のデッキの枚数より多くても【宣言】能力を使用できます。）\n\nQ：能力や効果によってレベルが増減しているキャラをリムーブした場合、どのレベルを参照しますか？\nA：リムーブした時点の（能力や効果によって増減した状態の）レベルを参照します。\n\n●【宣言】能力（2つ目）\n\nQ：下に重なっているカードの数につき能力を持つキャラ（《結成 少年探偵団/0264》や《円谷光彦/0848》）の下にカードを重ねた場合、それによってそのキャラが持つ能力は増えますか？\nA：はい。【○枚以上】の条件を新たに満たした場合は、該当の能力を持ちます。\n\nQ：「重ねる」とは何ですか？\nA：キャラの下に、選んだカードが重なった状態になります。キャラが現場を離れる場合、重なっているカードはすべてリムーブされます。\n \nQ：重なっているカードは「セットされているカード」に含まれますか？\nA：いいえ。重なっている状態は「セットされている」状態とは異なります。\n \nQ：重なっているカードはどのように扱われますか？ リムーブされたら【現場リムーブ時】などの能力は発動しますか？\nA：重なっているカードは情報を持たず、カードとしては現場にありますが、現場にいるキャラの数としては数えません（重なっている枚数のみ参照されます）。情報を持たないので、それらのカードの能力も発動することはありません。\n\n●MR能力\n \nオフィシャルルールマニュアル（［Ver.2.3］では26ページ）をご確認ください。\n \n●キャラの名前が複数あるカード名のルール\n \nオフィシャルルールマニュアル（［Ver.2.3］では27ページ）をご確認ください。
B08002P	0843	江戸川コナン＆灰原哀	青	9	8000	2	MRCP	探偵,毛利探偵事務所,少年探偵団,科学者	1771319691187575.jpg	【パートナー青】【宣言】【ターン1】キャラを1枚まで選び、リムーブする。リムーブした場合、自分のデッキのカードを上からリムーブしたキャラのレベルと同じ枚数リムーブする。\n【宣言】【ターン1】自分のリムーブエリアにある〚特徴［少年探偵団］〛のキャラを1枚まで選び、自分の現場にいる【青】のキャラ1枚の下に重ねる。この能力はパートナーエリアでも宣言できる。	【カットイン】AP＋2000					●【宣言】能力（1つ目）\n\nQ：「自分のデッキのカードを上からリムーブしたキャラのレベルと同じ枚数リムーブする」でリムーブする枚数が、デッキの残り枚数より多い場合はどうなりますか？\nA：可能な限りの枚数（デッキの残りのカードすべて）をリムーブします。その後「リフレッシュ」を行いますが、残りの枚数はリムーブしません。（この効果によるリムーブはコストではないので、選ぶキャラのレベルが自分のデッキの枚数より多くても【宣言】能力を使用できます。）\n\nQ：能力や効果によってレベルが増減しているキャラをリムーブした場合、どのレベルを参照しますか？\nA：リムーブした時点の（能力や効果によって増減した状態の）レベルを参照します。\n\n●【宣言】能力（2つ目）\n\nQ：下に重なっているカードの数につき能力を持つキャラ（《結成 少年探偵団/0264》や《円谷光彦/0848》）の下にカードを重ねた場合、それによってそのキャラが持つ能力は増えますか？\nA：はい。【○枚以上】の条件を新たに満たした場合は、該当の能力を持ちます。\n\nQ：「重ねる」とは何ですか？\nA：キャラの下に、選んだカードが重なった状態になります。キャラが現場を離れる場合、重なっているカードはすべてリムーブされます。\n \nQ：重なっているカードは「セットされているカード」に含まれますか？\nA：いいえ。重なっている状態は「セットされている」状態とは異なります。\n \nQ：重なっているカードはどのように扱われますか？ リムーブされたら【現場リムーブ時】などの能力は発動しますか？\nA：重なっているカードは情報を持たず、カードとしては現場にありますが、現場にいるキャラの数としては数えません（重なっている枚数のみ参照されます）。情報を持たないので、それらのカードの能力も発動することはありません。\n\n●MR能力\n \nオフィシャルルールマニュアル（［Ver.2.3］では26ページ）をご確認ください。\n \n●キャラの名前が複数あるカード名のルール\n \nオフィシャルルールマニュアル（［Ver.2.3］では27ページ）をご確認ください。
B08003	0844	阿笠博士	青	7	3000	1	SR	発明家	1766493008955785.jpg	【登場時】自分のリムーブエリアにあるレベル8の、それぞれカード名の異なる〚特徴［少年探偵団］〛のキャラを3枚まで選び、このキャラの下に重ねる。\n【パートナー青】【宣言】【ターン1】【スリープ】〚このキャラの下に重なっているカードを3枚リムーブする〛：相手はこの【宣言】能力のコストによってリムーブされたキャラの中から1枚選ぶ。それがレベル8以下の〚特徴［少年探偵団］〛のキャラの場合、登場させ、このキャラをリムーブし、手札を1枚リムーブする。				まのい		●【登場時】能力\n\nQ：リムーブエリアにある《結成 少年探偵団》を選ぶことはできますか？\nA：はい。レベル8の特徴［少年探偵団］のキャラなので、（それ以外のキャラとカード名の異なるキャラ1枚として）選ぶことができます。\n\nQ：このキャラをスイッチして登場させました。【登場時】能力で、スイッチでリムーブしたキャラを選ぶことはできますか？\nA：はい。【登場時】能力を解決する時点でリムーブエリアに置かれているので、選ぶことができます。\n\nQ：「重ねる」とは何ですか？\nA：キャラの下に、選んだカードが重なった状態になります。キャラが現場を離れる場合、重なっているカードはすべてリムーブされます。\n \nQ：重なっているカードは「セットされているカード」に含まれますか？\nA：いいえ。重なっている状態は「セットされている」状態とは異なります。\n \nQ：重なっているカードはどのように扱われますか？ リムーブされたら【現場リムーブ時】などの能力は発動しますか？\nA：重なっているカードは情報を持たず、カードとしては現場にありますが、現場にいるキャラの数としては数えません（重なっている枚数のみ参照されます）。情報を持たないので、それらのカードの能力も発動することはありません。\n\n●【宣言】能力\n\nQ：（ほかの効果などによって）このキャラの下にカードが4枚以上重なっている状態で【宣言】能力を使用する場合、コストでリムーブする3枚は選択できますか？\nA：はい、選択できます。（重なっているカードの内容は、お互いのプレイヤーがいつでも確認できます。）\n\nQ：相手が選んだキャラを登場させる際に自分の現場にキャラが5枚いる場合、（その後で効果によってこのキャラをリムーブしますが）その時点でスイッチしなければなりませんか？\nA：はい。効果は書かれている順番どおりに解決するので、登場と同時にスイッチを行う必要があります。その際、このキャラをリムーブすることもできますが、その場合も効果は「手札を1枚リムーブする。」まで解決します。\n\nQ：能力や効果によって登場したキャラの【登場時】能力は発動しますか？\nA：はい、発動します。（この【宣言】能力の効果をすべて解決してから解決します。）
B08003P	0844	阿笠博士	青	7	3000	1	SRP	発明家	1766493008961164.jpg	【登場時】自分のリムーブエリアにあるレベル8の、それぞれカード名の異なる〚特徴［少年探偵団］〛のキャラを3枚まで選び、このキャラの下に重ねる。\n【パートナー青】【宣言】【ターン1】【スリープ】〚このキャラの下に重なっているカードを3枚リムーブする〛：相手はこの【宣言】能力のコストによってリムーブされたキャラの中から1枚選ぶ。それがレベル8以下の〚特徴［少年探偵団］〛のキャラの場合、登場させ、このキャラをリムーブし、手札を1枚リムーブする。				あす		●【登場時】能力\n\nQ：リムーブエリアにある《結成 少年探偵団》を選ぶことはできますか？\nA：はい。レベル8の特徴［少年探偵団］のキャラなので、（それ以外のキャラとカード名の異なるキャラ1枚として）選ぶことができます。\n\nQ：このキャラをスイッチして登場させました。【登場時】能力で、スイッチでリムーブしたキャラを選ぶことはできますか？\nA：はい。【登場時】能力を解決する時点でリムーブエリアに置かれているので、選ぶことができます。\n\nQ：「重ねる」とは何ですか？\nA：キャラの下に、選んだカードが重なった状態になります。キャラが現場を離れる場合、重なっているカードはすべてリムーブされます。\n \nQ：重なっているカードは「セットされているカード」に含まれますか？\nA：いいえ。重なっている状態は「セットされている」状態とは異なります。\n \nQ：重なっているカードはどのように扱われますか？ リムーブされたら【現場リムーブ時】などの能力は発動しますか？\nA：重なっているカードは情報を持たず、カードとしては現場にありますが、現場にいるキャラの数としては数えません（重なっている枚数のみ参照されます）。情報を持たないので、それらのカードの能力も発動することはありません。\n\n●【宣言】能力\n\nQ：（ほかの効果などによって）このキャラの下にカードが4枚以上重なっている状態で【宣言】能力を使用する場合、コストでリムーブする3枚は選択できますか？\nA：はい、選択できます。（重なっているカードの内容は、お互いのプレイヤーがいつでも確認できます。）\n\nQ：相手が選んだキャラを登場させる際に自分の現場にキャラが5枚いる場合、（その後で効果によってこのキャラをリムーブしますが）その時点でスイッチしなければなりませんか？\nA：はい。効果は書かれている順番どおりに解決するので、登場と同時にスイッチを行う必要があります。その際、このキャラをリムーブすることもできますが、その場合も効果は「手札を1枚リムーブする。」まで解決します。\n\nQ：能力や効果によって登場したキャラの【登場時】能力は発動しますか？\nA：はい、発動します。（この【宣言】能力の効果をすべて解決してから解決します。）
B08004	0845	江戸川コナン	青	7	6000	1	R	探偵|毛利探偵事務所|少年探偵団	1766493008967186.jpg	【パートナー青】〚突撃〛（登場したターンからすぐにアクションできる）\n【事件青＆黒】【絆灰原哀】【FILE5】【宣言】【ターン1】〚アクティブ状態のカード名［灰原哀］を1枚スタンさせる〛：このキャラをアクティブにする。この能力は自分のリムーブエリアに【黒】のキャラが3枚以上ある場合に宣言できる。						●【宣言】能力\n\nQ：【宣言】能力の「アクティブ状態のカード名［灰原哀］を1枚スタンさせる」は、相手のキャラをスタンさせることができますか？\nA：いいえ。【宣言】能力の「:」より左にあるテキスト（コスト）では、自分のカードしか使うことができません。\n\nQ：【FILE（5）】は、【アシスト】したパートナーも数えますか？\nA：はい、数えます。\n\n●スタンさせる\n \nQ：「スタンさせる」とはなんですか？\nA：「スタンさせる」効果を受けたキャラは「スタン状態」となり、カードを上下逆向きにします。スタン状態のキャラは、オートフェイズやカードの効果によってアクティブにする場合、代わりにスリープ状態になります。それまでスタン状態は解除されません。\n\nQ：スタン状態のキャラはアクションで指定できますか？\nA：はい。スリープ状態のキャラと同様に指定できます。
B08004P	0845	江戸川コナン	青	7	6000	1	RP	探偵|毛利探偵事務所|少年探偵団	1771319691202961.jpg	【パートナー青】〚突撃〛（登場したターンからすぐにアクションできる）\n【事件青＆黒】【絆灰原哀】【FILE5】【宣言】【ターン1】〚アクティブ状態のカード名［灰原哀］を1枚スタンさせる〛：このキャラをアクティブにする。この能力は自分のリムーブエリアに【黒】のキャラが3枚以上ある場合に宣言できる。						●【宣言】能力\n\nQ：【宣言】能力の「アクティブ状態のカード名［灰原哀］を1枚スタンさせる」は、相手のキャラをスタンさせることができますか？\nA：いいえ。【宣言】能力の「:」より左にあるテキスト（コスト）では、自分のカードしか使うことができません。\n\nQ：【FILE（5）】は、【アシスト】したパートナーも数えますか？\nA：はい、数えます。\n\n●スタンさせる\n \nQ：「スタンさせる」とはなんですか？\nA：「スタンさせる」効果を受けたキャラは「スタン状態」となり、カードを上下逆向きにします。スタン状態のキャラは、オートフェイズやカードの効果によってアクティブにする場合、代わりにスリープ状態になります。それまでスタン状態は解除されません。\n\nQ：スタン状態のキャラはアクションで指定できますか？\nA：はい。スリープ状態のキャラと同様に指定できます。
B08005	0846	灰原哀	青	8	7000	2	R	少年探偵団|科学者	1766493008973444.jpg	【事件青＆黒】【パートナー青】【登場時】AP8000以下のキャラを1枚まで選び、リムーブする。		【ヒラメキ】自分のリムーブエリアにある【現場リムーブ時】を持つ【黒】のキャラを1枚まで選び、手札に加える。				
B08005P	0846	灰原哀	青	8	7000	2	RP	少年探偵団|科学者	1771319691209979.jpg	【事件青＆黒】【パートナー青】【登場時】AP8000以下のキャラを1枚まで選び、リムーブする。		【ヒラメキ】自分のリムーブエリアにある【現場リムーブ時】を持つ【黒】のキャラを1枚まで選び、手札に加える。				
B08006	0847	小嶋元太	青	7	6000	0	R	少年探偵団	1770731562374131.jpg	【宣言】【スリープ】〚手札から特徴［少年探偵団］のキャラを1枚公開し、自分の現場にいる【青】のキャラ1枚の下に重ねる〛：レベル7以下のキャラを1枚まで選び、リムーブする。		【ヒラメキ】【解決編】アクション中のキャラを1枚まで選び、スタンさせる。				●【宣言】能力\n\nQ：下に重なっているカードの数につき能力を持つキャラ（《結成 少年探偵団/0264》や《円谷光彦/0848》）の下にカードを重ねた場合、それによってそのキャラが持つ能力は増えますか？\nA：はい。【○枚以上】の条件を新たに満たした場合は、該当の能力を持ちます。\n\nQ：【宣言】能力のコストで、このキャラの下に公開したカードを重ねることはできますか？\nA：はい、可能です。\n\nQ：「重ねる」とは何ですか？\nA：キャラの下に、選んだカードが重なった状態になります。キャラが現場を離れる場合、重なっているカードはすべてリムーブされます。\n \nQ：重なっているカードは「セットされているカード」に含まれますか？\nA：いいえ。重なっている状態は「セットされている」状態とは異なります。\n \nQ：重なっているカードはどのように扱われますか？ リムーブされたら【現場リムーブ時】などの能力は発動しますか？\nA：重なっているカードは情報を持たず、カードとしては現場にありますが、現場にいるキャラの数としては数えません（重なっている枚数のみ参照されます）。情報を持たないので、それらのカードの能力も発動することはありません。\n\n●【ヒラメキ】\n\nQ：「アクション中のキャラ」はどのキャラのことですか？\nA：現時点でのアクションを行っているキャラを指します。【ヒラメキ】においてはアクション［事件］でこのカードの【ヒラメキ】を発動させたキャラが該当することになります。\n\n●スタンさせる\n \nQ：「スタンさせる」とはなんですか？\nA：「スタンさせる」効果を受けたキャラは「スタン状態」となり、カードを上下逆向きにします。スタン状態のキャラは、オートフェイズやカードの効果によってアクティブにする場合、代わりにスリープ状態になります。それまでスタン状態は解除されません。\n\nQ：スタン状態のキャラはアクションで指定できますか？\nA：はい。スリープ状態のキャラと同様に指定できます。
B08007	0848	円谷光彦	青	8	7000	1	R	少年探偵団	1770731204297755.jpg	【パートナー青】〚突撃［事件］〛\n【自分ターン中】このキャラの下に重なっているカードの数につき、以下の能力を持つ。\n【1枚以上】AP＋1000、〚突撃［キャラ］〛\n【3枚以上】【FILE5】【宣言】【ターン1】〚手札を1枚リムーブする〛：このキャラをアクティブにする。						Q：【FILE（5）】は、【アシスト】したパートナーも数えますか？\nA：はい、数えます。
