cardNum	cardId	title	color	level	ap	lp	rarity	features	imagePath	effect	cutIn	hirameki	henso	illustrator	flavor	qAndA
B04003	0408	工藤新一	青	8	8000	2	SR	探偵|高校生	1735287656197151.jpg	【絆毛利蘭】【相手ターン中】【ターン1】自分の現場にいる〚カード名［毛利蘭］〛が相手の能力や効果によって選ばれたとき、相手は手札を1枚リムーブしてもよい。そうしなかった場合、それを無効にする。\n【宣言】【ターン1】【スリープ】〚手札からカード名［毛利蘭］を1枚公開する〛：AP8000以下のキャラを1枚まで選び、デッキの下に移す。				松田硯		●【絆】能力\n\nQ：「相手の能力や効果によって選ばれたとき」の能力は、どのタイミングで発動しますか？\nA：相手が「キャラを○枚まで選ぶ（選び）」と書かれている能力や効果で、自分の現場にいるカード名［毛利蘭］を選んだときに発動します。「相手は手札を1枚リムーブしてもよい。そうしなかった場合、それを無効にする。」は「無効にする」効果なので、即座に解決します。\n\nQ：「相手の能力や効果によって選ばれとき」の能力は、カード名［毛利蘭］がアクションで指定されたときも発動しますか？\nA：いいえ、アクションでの指定は「選ぶ」効果ではないので発動しません。\n\nQ：「無効にする」効果は、具体的にどこまで無効になりますか？\nA：「選び（選ぶ）」以降に書かれているすべての効果を無効にします。例として「選び、～する。カードを1枚引く。」という効果を無効にした場合、「カードを1枚引く」までが無効になります。\n\nQ：カード名［毛利蘭］と、それ以外のキャラも選んでいる能力や効果を無効にした場合、それらの効果も無効になりますか？\nA：はい。それ以外のキャラへの効果も無効にします。\n\nQ：【絆】とは何ですか？\nA：自分の現場に指定のカード名のキャラがいる場合に、右の能力を持ちます。（パートナーでは条件を満たしません。）\n\nQ：【ターン1】で発動する能力は、同じカードが複数自分の現場にいる場合、すべて同時に発動しますか？\nA：はい。すべて同時に発動し、好きな順番で解決します。（条件を満たしたときに発動させないことは選択できません。）\n\n●【宣言】能力\n\nQ：【宣言】能力のコストで公開したカード名［毛利蘭］は、いつまで公開しておけばよいですか？\nA：コストの支払いが完了し、効果の解決に入る時点で元に戻してかまいません。
B04003P	0408	工藤新一	青	8	8000	2	SRP	探偵|高校生	1735287656202537.jpg	【絆毛利蘭】【相手ターン中】【ターン1】自分の現場にいる〚カード名［毛利蘭］〛が相手の能力や効果によって選ばれたとき、相手は手札を1枚リムーブしてもよい。そうしなかった場合、それを無効にする。\n【宣言】【ターン1】【スリープ】〚手札からカード名［毛利蘭］を1枚公開する〛：AP8000以下のキャラを1枚まで選び、デッキの下に移す。				水季		●【絆】能力\n\nQ：「相手の能力や効果によって選ばれたとき」の能力は、どのタイミングで発動しますか？\nA：相手が「キャラを○枚まで選ぶ（選び）」と書かれている能力や効果で、自分の現場にいるカード名［毛利蘭］を選んだときに発動します。「相手は手札を1枚リムーブしてもよい。そうしなかった場合、それを無効にする。」は「無効にする」効果なので、即座に解決します。\n\nQ：「相手の能力や効果によって選ばれとき」の能力は、カード名［毛利蘭］がアクションで指定されたときも発動しますか？\nA：いいえ、アクションでの指定は「選ぶ」効果ではないので発動しません。\n\nQ：「無効にする」効果は、具体的にどこまで無効になりますか？\nA：「選び（選ぶ）」以降に書かれているすべての効果を無効にします。例として「選び、～する。カードを1枚引く。」という効果を無効にした場合、「カードを1枚引く」までが無効になります。\n\nQ：カード名［毛利蘭］と、それ以外のキャラも選んでいる能力や効果を無効にした場合、それらの効果も無効になりますか？\nA：はい。それ以外のキャラへの効果も無効にします。\n\nQ：【絆】とは何ですか？\nA：自分の現場に指定のカード名のキャラがいる場合に、右の能力を持ちます。（パートナーでは条件を満たしません。）\n\nQ：【ターン1】で発動する能力は、同じカードが複数自分の現場にいる場合、すべて同時に発動しますか？\nA：はい。すべて同時に発動し、好きな順番で解決します。（条件を満たしたときに発動させないことは選択できません。）\n\n●【宣言】能力\n\nQ：【宣言】能力のコストで公開したカード名［毛利蘭］は、いつまで公開しておけばよいですか？\nA：コストの支払いが完了し、効果の解決に入る時点で元に戻してかまいません。
B04004	0409	毛利蘭	青	8	8000	0	SR	高校生|毛利探偵事務所|空手家	1735287656207095.jpg	【パートナー青】〚迅速〛\n【ターン1】相手の現場にいるキャラがこのキャラとのコンタクトによってリムーブされたとき、手札を1枚リムーブしてもよい。そうした場合、証拠を1つ得る。\n【絆工藤新一】【ターン1】相手の現場にいるキャラが自分の現場にいる〚カード名［工藤新一］〛を指定してアクションしたとき、このキャラをアクティブにする。				松田硯		Q：「相手の現場にいるキャラが～アクションしたとき」の能力は、どのタイミングで発動しますか？\nA：アクションを宣言し、カード名［工藤新一］を指定してアクションするキャラをスリープさせた時点で発動します（自分がガードをするか決めるよりも前です）。ですので、アクティブにしたこのキャラでそのアクションをガードすることができます。\n\nQ：【絆】とは何ですか？\nA：自分の現場に指定のカード名のキャラがいる場合に、右の能力を持ちます。（パートナーでは条件を満たしません。）
B04004P	0409	毛利蘭	青	8	8000	0	SRP	高校生|毛利探偵事務所|空手家	1735287656212351.jpg	【パートナー青】〚迅速〛\n【ターン1】相手の現場にいるキャラがこのキャラとのコンタクトによってリムーブされたとき、手札を1枚リムーブしてもよい。そうした場合、証拠を1つ得る。\n【絆工藤新一】【ターン1】相手の現場にいるキャラが自分の現場にいる〚カード名［工藤新一］〛を指定してアクションしたとき、このキャラをアクティブにする。				水季		Q：「相手の現場にいるキャラが～アクションしたとき」の能力は、どのタイミングで発動しますか？\nA：アクションを宣言し、カード名［工藤新一］を指定してアクションするキャラをスリープさせた時点で発動します（自分がガードをするか決めるよりも前です）。ですので、アクティブにしたこのキャラでそのアクションをガードすることができます。\n\nQ：【絆】とは何ですか？\nA：自分の現場に指定のカード名のキャラがいる場合に、右の能力を持ちます。（パートナーでは条件を満たしません。）
B04005	0410	江戸川コナン	青	4	4000	1	R	探偵|毛利探偵事務所|少年探偵団	1735287656216870.jpg	【登場時】カードを2枚引き、手札を2枚リムーブする。\n【宣言】【ターン1】このキャラ以外の〚特徴［毛利探偵事務所］〛のキャラを1枚まで選び、ターン終了時までAP＋1000する。						Q：デッキが残り2枚以下の場合はどうすればよいですか？\nA：デッキのカードを引ききった時点で即座に「リフレッシュ」を行い、引くカードが1枚残っている場合はカードを1枚引きます。そのあとで手札を2枚リムーブします。
B04005P	0410	江戸川コナン	青	4	4000	1	RP	探偵|毛利探偵事務所|少年探偵団	1735287656222941.jpg	【登場時】カードを2枚引き、手札を2枚リムーブする。\n【宣言】【ターン1】このキャラ以外の〚特徴［毛利探偵事務所］〛のキャラを1枚まで選び、ターン終了時までAP＋1000する。						Q：デッキが残り2枚以下の場合はどうすればよいですか？\nA：デッキのカードを引ききった時点で即座に「リフレッシュ」を行い、引くカードが1枚残っている場合はカードを1枚引きます。そのあとで手札を2枚リムーブします。
B04006	0411	工藤新一	青	2	1000	1	C	探偵|高校生	1735287656227310.jpg		【カットイン】AP＋2000（コンタクト中に手札からリムーブして使う）					
B04006P	0411	工藤新一	青	2	1000	1	CP	探偵|高校生	1735287656231343.jpg		【カットイン】AP＋2000（コンタクト中に手札からリムーブして使う）					
B04007	0412	小林澄子	青	5	4000	1	C	教師	1735287656236733.jpg	【相手ターン中】【現場リムーブ時】自分のリムーブエリアにあるレベル6以下の〚カード名［白鳥任三郎］〛を1枚まで選び、スリープ状態で登場させる。		【ヒラメキ】（証拠からリムーブされるときに発動する）キャラを1枚まで選び、スリープさせる。				Q：【相手ターン中】【現場リムーブ時】とはなんですか？\nA：【現場リムーブ時】の能力は、現場にいるこのキャラがリムーブされた（リムーブエリアに置かれた）ときに発動します。なのでこの能力は、相手のターン中に現場からリムーブされたときに発動します。\n\nQ：能力や効果によって登場したキャラの【登場時】能力は発動しますか？\nA：はい、発動します。
B04008	0413	灰原哀	青	6	4000	1	C	少年探偵団|科学者	1735287656240342.jpg	【解決編】【宣言】【スリープ】〚手札から特徴［少年探偵団］のキャラを2枚リムーブする〛：レベル7以下のキャラを1枚まで選び、リムーブする。		【ヒラメキ】（証拠からリムーブされるときに発動する）カードを1枚引く。		猫囃子		
