cardNum	cardId	title	color	rarity	imagePath	difficultyFirst	difficultySecond	effect	illustrator	qAndA
B02015	0187	水色の想い出	青	C	1721357188585921.jpg	7	6			
B02015P	0187	水色の想い出	青	CP	1721357188588013.jpg	7	6			
B02034	0204	浪花の連続殺人事件	緑	C	1721357211041042.jpg	7	6			
B02034P	0204	浪花の連続殺人事件	緑	CP	1721357211044508.jpg	7	6			
B02054	0219	怪盗キッドvs.最強金庫	白	C	1721357250061249.jpg	7	6			
B02054P	0219	怪盗キッドvs.最強金庫	白	CP	1721357250065115.jpg	7	6			
B02069	0232	さざ波の魔法使い	赤	C	1721357267343148.jpg	7	6			
B02069P	0232	さざ波の魔法使い	赤	CP	1721357267346420.jpg	7	6			
B02085	0246	囚われた刑事	黄	C	1721357284560440.jpg	7	6			
B02085P	0246	囚われた刑事	黄	CP	1721357284563686.jpg	7	6			
B02089	0250	探偵甲子園	緑,白	C	1721357309982654.jpg	7	6	この事件が解決編になったとき、相手はカードを1枚引く。		{"パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？":"いいえ、できません。"}
B02089P	0250	探偵甲子園	緑,白	CP	1721357309986311.jpg	7	6	この事件が解決編になったとき、相手はカードを1枚引く。		{"パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？":"いいえ、できません。"}
B02090	0251	西の名探偵vs.英語教師	緑,赤	C	1721357309989784.jpg	7	6	この事件が解決編になったとき、相手はカードを1枚引く。		{"パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？":"いいえ、できません。"}
B02091	0252	謎解きは喫茶ポアロで	緑,黄	C	1721357309992697.jpg	7	6	この事件が解決編になったとき、相手はカードを1枚引く。		{"パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？":"いいえ、できません。"}
